Unnamed: 0,Polish,English
1219,zrozumiałem ,I understood 
1220,piękny ,beautiful 
1221,jedyną ,only 
1222,lepszy ,better 
1223,kobiet ,women 
1224,statku ,ship 
1225,alex ,alex 
1226,światła ,lights 
1227,psa ,dog 
1228,witamy ,Welcome 
1229,pójdziemy ,we go 
1230,pomogę ,I will help 
1231,duże ,big 
1232,mary ,Mary 
1233,miesiąc ,month 
1234,szczęśliwy ,happy 
1235,oko ,eye 
1236,ładnie ,nicely 
1237,sensu ,sense 
1238,całej ,whole 
1239,więzienia ,prisons 
1240,przygotować ,to prepare 
1241,podobno ,supposedly 
1242,nową ,new 
1243,jedyny ,only 
1244,jakbym ,as if 
1245,przejść ,pass 
1246,potrzeba ,need 
1247,pójdzie ,will go 
1248,pierwszym ,first 
1249,coraz ,increasingly 
1250,drugie ,second 
1251,miałaś ,You had 
1252,ktokolwiek ,anyone 
1253,boisz ,you're afraid 
1254,skończy ,will finish 
1255,mnóstwo ,lots of 
1256,bierz ,take it 
1257,chcieli ,They wanted 
1258,trudne ,difficult 
1259,peter ,Peter 
1260,nazywasz ,you name 
1261,szukać ,to look for 
1262,dole ,downstairs 
1263,chodziło ,it was about 
1264,potrafisz ,you can 
1265,zapytać ,ask 
1266,spotkamy ,we'll meet 
1267,wiedziałeś ,you knew 
1268,sytuacji ,situation 
1269,max ,max 
1270,poproszę ,Please 
1271,dziesięć ,ten 
1272,ostatnia ,final 
1273,załatwić ,arrange 
1274,poszło ,it went 
1275,buty ,Shoes 
1276,podaj ,give it 
1277,zabiłeś ,you killed 
1278,zajmie ,will take 
1279,jazda ,ride 
1280,zasady ,rules 
1281,widziałaś ,you saw 
1282,książki ,books 
1283,koło ,wheel 
1284,pozwolę ,I will 
1285,ostrożnie ,carefully 
1286,byłby ,would be 
1287,wielkiego ,great 
1288,pracujesz ,you work 
1289,zamknąć ,close 
1290,znajdź ,find 
1291,usłyszeć ,hear 
1292,wybór ,choice 
1293,bezpieczeństwa ,safety 
1294,wejdź ,come in 
1295,gry ,games 
1296,la ,la 
1297,słuchajcie ,listen 
1298,zrobiłaś ,you did 
1299,prosić ,ask 
1300,odpowiedzi ,answers 
1301,dobrą ,All right 
1302,stara ,old 
1303,gotów ,ready 
1304,obiad ,Lunch 
1305,pięknie ,Beautifully 
1306,brakuje ,is lacking 
1307,mowy ,speech 
1308,jedyne ,only 
1309,zaczął ,he started 
1310,drugą ,second 
1311,ognia ,fire 
1312,pomyśl ,idea 
1313,drinka ,drink 
1314,własne ,own 
1315,atak ,attack 
1316,prezydent ,President 
1317,prowadzi ,leads 
1318,cie ,you 
1319,powoli ,slowly 
1320,jake ,jake 
1321,korekta ,adjustment 
1322,pomiędzy ,between 
1323,zginął ,died 
1324,osoby ,persons 
1325,wersji ,version 
1326,zjeść ,eat 
1327,martwić ,worry 
1328,osoba ,person 
1329,chłopiec ,boy 
1330,skończyć ,end 
1331,spoko ,Cool 
1332,próbował ,he tried 
1333,mogłam ,I could 
1334,kraj ,country 
1335,jakbyś ,as if 
1336,znak ,sign 
1337,doskonale ,excellent 
1338,jedynym ,the only one 
1339,związek ,relationship 
1340,wolę ,I prefer 
1341,znajdzie ,will find 
1342,komuś ,to someone 
1343,zrobili ,they did 
1344,król ,King 
1345,próbowałem ,I tried 
1346,pieprzony ,fucking 
1347,wypadku ,accident 
1348,jedyna ,only 
1349,generale ,General 
1350,wolny ,free 
1351,woda ,water 
1352,powiedzieli ,they said 
1353,rodziców ,parents 
1354,dzieciaki ,kids 
1355,patrzeć ,look 
1356,miłe ,nice 
1357,przyjęcie ,adoption 
1358,agent ,agent 
1359,zadanie ,task 
1360,rodzaju ,kind 
1361,lewo ,left 
1362,ach ,ah 
1363,siedem ,seven 
1364,wysokość ,height 
1365,specjalnie ,especially 
1366,szpitalu ,hospital 
1367,dane ,data 
1368,dzieciak ,child 
1369,zdanie ,opinion 
1370,me ,me 
1371,jeść ,eat 
1372,uratować ,save 
1373,mózgu ,brain 
1374,niezła ,nice 
1375,wiedziała ,she knew 
1376,piwo ,beer 
1377,sierżancie ,Sergeant 
1378,przyszedłem ,I came 
1379,samochodzie ,car 
1380,staram ,I'm trying 
1381,stylu ,style 
1382,całego ,whole 
1383,pora ,time 
1384,kawę ,coffee 
1385,znajdziesz ,You will find 
1386,sygnał ,signal 
1387,gorzej ,worse 
1388,grupa ,group 
1389,zniszczyć ,destroy 
1390,osobiście ,personally 
1391,kolego ,my friend 
1392,żyjesz ,you are alive 
1393,matką ,mother 
1394,ślub ,wedding 
1395,miesiące ,months 
1396,dupę ,ass 
1397,strzelać ,shoot 
1398,oddaj ,give it back 
1399,chory ,sick 
1400,umarł ,died 
1401,jakimś ,some 
1402,wielkim ,great 
1403,zaczynamy ,here we go 
1404,Rachel ,Rachel 
1405,częścią ,part 
1406,dowód ,evidence 
1407,program ,program 
1408,owszem ,yes 
1409,myślą ,they think 
1410,rzuć ,quit 
1411,próbuje ,try 
1412,mogło ,could 
1413,spraw ,make it happen 
1414,wychodzi ,leaves 
1415,chciałbyś ,you would like 
1416,budynku ,building 
1417,martwi ,dead 
1418,niezłe ,not bad 
1419,kawałek ,piece 
1420,uh ,uh 
1421,wiadomo ,known 
1422,wokół ,around 
1423,głupie ,stupid 
1424,pułkowniku ,Colonel 
1425,plany ,plans 
1426,firmy ,companies 
1427,naprzód ,forward 
1428,odejdź ,Go away 
1429,nauczyć ,teach 
1430,znamy ,we know 
1431,historię ,history 
1432,telefonu ,phone 
1433,więzieniu ,prison 
1434,wcześnie ,early 
1435,jakiej ,what 
1436,metrów ,meters 
1437,jedzie ,he's going 
1438,związku ,relationship 
1439,wyglądam ,I look 
1440,danny ,Danny 
1441,ostatniej ,last one 
1442,potrzebował ,he needed 
1443,jim ,jim 
1444,początek ,beginning 
1445,najlepszym ,the best 
1446,zajęty ,occupied 
1447,książkę ,book 
1448,każda ,each 
1449,pierwszej ,first 
1450,uczucie ,feeling 
1451,potrzebny ,necessary 
1452,henry ,Henry 
1453,odłóż ,put it aside 
1454,bill ,bill 
1455,lekarza ,doctor 
1456,wyjaśnić ,explain 
1457,tuż ,next door 
1458,oprócz ,apart from 
1459,wśród ,among 
1460,wielką ,huge 
1461,przyszłości ,future 
1462,córkę ,daughter 
1463,złapać ,to catch 
1464,samą ,alone 
1465,ilu ,how many 
1466,wojnę ,war 
1467,miłego ,nice 
1468,nieco ,little 
1469,straszne ,horrible 
1470,żyją ,live 
1471,adres ,address 
1472,druga ,second 
1473,gości ,guests 
1474,siedzieć ,sit 
1475,zdobyć ,to win 
1476,kate ,kate 
1477,rząd ,government 
1478,informacji ,information 
1479,kawy ,coffee 
1480,zdaje ,it seems 
1481,idźcie ,go 
1482,łóżku ,bed 
1483,chłopaka ,boyfriend 
1484,wyprawiasz ,you are doing 
1485,przysługę ,a favor 
1486,abyś ,so that 
1487,ruch ,movement 
1488,damy ,ladies 
1489,gratulacje ,Congratulations 
1490,zostanę ,I will stay 
1491,gliny ,cops 
1492,biurze ,office 
1493,prawdziwa ,true 
1494,zabij ,kill 
1495,sądzie ,court 
1496,zamierzasz ,you're going to 
1497,wierzyć ,believe 
1498,zapomniałem ,I forgot 
1499,matkę ,mother 
1500,zostawił ,he left 
1501,życiem ,life 
1502,swego ,his own 
1503,dziękujemy ,thank you 
1504,info ,info 
1505,znalazłeś ,you found it 
1506,stał ,steel 
1507,wyjścia ,exits 
1508,ciąży ,pregnancy 
1510,pracował ,he worked 
1511,chwilkę ,wait a minute 
1512,byśmy ,we would 
1513,zimno ,Cold 
1514,raport ,report 
1515,leży ,lies 
1516,godzina ,time 
1517,kończy ,ends 
1518,wyjdzie ,will come out 
1519,wodę ,water 
1520,imieniu ,name 
1521,użyć ,use 
1522,weekend ,weekend 
1523,nasi ,ours 
1524,kontakt ,contact 
1525,san ,san 
1526,kości ,bones 
1527,pobliżu ,nearby 
1528,zostaniesz ,You'll stay 
1529,nick ,nickname 
1530,chronić ,protect 
1531,ray ,ray 
1532,błagam ,I'm begging you 
1533,świetna ,excellent 
1534,zostałem ,I stayed 
1535,najwyraźniej ,obviously 
1536,codziennie ,every day 
1537,poczekać ,wait 
1538,telewizji ,television 
1539,usiąść ,sit down 
1540,morderstwo ,murder 
1541,zabrał ,took 
1542,chętnie ,gladly 
1543,pieprzyć ,fuck 
1544,angeles ,angeles 
1545,szuka ,looking for 
1546,zabiłem ,I killed 
1547,okno ,window 
1548,różne ,different 
1549,problemu ,problem 
1550,własną ,own 
1551,podać ,to give 
1552,założę ,I will 
1553,podróż ,trip 
1554,dałem ,I gave 
1556,kolej ,rail 
1557,laboratorium ,lab 
1558,cudownie ,wonderfully 
1559,powiedzenia ,Proverbs 
1560,mieszkanie ,apartment 
1561,rozumie ,Understands 
1562,urodziny ,birthday 
1563,ochotę ,desire 
1564,zapomnieć ,forget 
1565,zespół ,team 
1566,billy ,Billy 
1567,króla ,king 
1568,wrócisz ,you will come back 
1569,wizja ,vision 
1570,przynieś ,bring 
1571,pierwszą ,first 
1572,spójrzcie ,look 
1573,święta ,holidays 
1574,badania ,tests 
1575,zobaczmy ,let's see 
1576,świetne ,great 
1577,wóz ,car 
1578,USA ,USA 
1579,dolców ,bucks 
1580,wrażenie ,impression 
1581,głowa ,head 
1582,ślady ,traces 
1583,siostry ,sisters 
1584,dawna ,long time ago 
1585,dumny ,proud 
1586,widzicie ,you see 
1587,Johnny ,Johnny 
1588,komu ,to whom 
1589,will ,Will 
1590,najlepszego ,the best 
1591,lecieć ,fly 
1592,wysoki ,tall 
1593,przestańcie ,stop it 
1594,Chris ,Chris 
1595,linii ,lines 
1596,niewiele ,few 
1597,bobby ,bobby 
1598,mogłabym ,I could 
1599,latach ,years 
1600,umiesz ,you can 
1601,fakt ,fact 
1602,wyszedł ,he left 
1603,śniadanie ,breakfast 
1604,poruczniku ,Lieutenant 
1605,jedzenia ,food 
1606,mogłabyś ,you could 
1607,odbiór ,reception 
1608,liczy ,counts 
1609,bliżej ,closer 
1610,odebrać ,to pick up 
1611,innymi ,others 
1612,wynoś ,take out 
1613,przeciw ,against 
1614,karty ,cards 
1615,eddie ,Eddie 
1616,oddać ,to give back 
1617,mistrzu ,master 
1618,zróbmy ,let's do it 
1619,wydostać ,get out 
1620,znalazłam ,I found 
1621,spojrzeć ,look 
1622,znaleźli ,found 
1623,szukasz ,you are looking for 
1624,dave ,dave 
1625,szczęścia ,happiness 
1626,pański ,your 
1627,czekam ,I'm waiting 
1628,pistolet ,gun 
1629,synem ,son 
1630,wiary ,faith 
1631,opuścić ,leave 
1632,obraz ,picture 
1633,straciłem ,I lost 
1634,lekarz ,doctor 
1635,dostanę ,I will get 
1636,wziął ,he took it 
1637,zgadzam ,I agree 
1638,zaufaj ,trust 
1639,chodzić ,go 
1640,szczęśliwa ,happy 
1641,miałbym ,I would 
1642,mówiłaś ,you said 
1643,możliwości ,possibilities 
1644,przyjemność ,pleasure 
1645,wow ,wow 
1646,rana ,wound 
1647,przyznać ,admit 
1648,każdą ,each 
1649,dala ,away 
1650,wybaczyć ,forgive 
1651,siedzi ,sit 
1652,ofiary ,victims 
1653,słońce ,sun 
1654,sytuacja ,situation 
1655,twierdzi ,claims 
1656,dowody ,evidence 
1657,wyjście ,Exit 
1658,przede ,first of all 
1659,chciałby ,would like to 
1661,otwarte ,Open 
1662,yeah ,yeah 
1663,zapłacić ,pay 
1664,młoda ,young 
1665,czarny ,black 
1666,tysiące ,thousands 
1667,spodoba ,like it 
1668,ładna ,pretty 
1669,zwłaszcza ,especially 
1670,de ,de 
1671,obaj ,both 
1672,zgodnie ,according 
1673,brać ,to take 
1674,zeszłym ,last 
1675,udział ,participation 
1676,mecz ,game 
1677,zostaje ,stays 
1678,kuchni ,kitchen 
1679,nowych ,new ones 
1680,zabawy ,fun 
1681,dostanie ,will get 
1682,banku ,bank 
1683,subedit ,subedit 
1684,trzyma ,holds 
1685,jane ,Jane 
1686,jasna ,bright 
1687,mężczyzn ,men 
1688,zgoda ,agreement 
1689,drugim ,the second 
1690,nikim ,nobody 
1691,kochać ,love 
1692,juz ,Already 
1693,mówimy ,we say 
1694,nr ,no 
1695,dwoje ,two 
1696,córki ,daughters 
1697,pozbyć ,get rid of 
1698,małego ,little one 
1699,stare ,old 
1700,krok ,step 
1701,kasę ,money 
1702,pierwszego ,the first one 
1703,dna ,gout 
1704,żegnaj ,goodbye 
1705,umiem ,I can 
1706,kod ,code 
1707,dzwonił ,he called 
1708,lee ,lee 
1709,zabawa ,game 
1710,dziwnie ,strangely 
1711,przychodzi ,comes 
1712,szefem ,boss 
1713,uciekać ,run away 
1714,listy ,letters 
1715,bank ,bank 
1716,wyjdź ,leave 
1717,biuro ,office 
1718,zacznie ,will start 
1719,myślałeś ,you thought 
1720,wobec ,to 
1721,głodny ,hungry 
1722,niebezpieczne ,dangerous 
1723,rodziną ,family 
1724,moimi ,mine 
1725,okej ,okay 
1726,akcji ,shares 
1727,panna ,Virgin 
1728,pobrane ,downloaded 
1729,teren ,area 
1730,towar ,commodity 
1731,rozkazy ,orders 
1732,kazał ,he ordered 
1733,łódź ,Łódź 
1734,Sarah ,Sarah 
1735,głupia ,stupid 
1736,Tommy ,Tommy 
1737,ostatnim ,the last one 
1738,kolejne ,next 
1739,dziewczynka ,girl 
1740,dupy ,asses 
1741,prezydenta ,president 
1742,powinni ,they should 
1743,mózg ,brain 
1744,powietrze ,air 
1745,naprawić ,to fix 
1746,umrze ,he will die 
1747,poziom ,level 
1748,lunch ,lunch 
1749,ładne ,nice 
1750,muzyka ,music 
1751,pierdol ,fuck 
1752,inną ,another one 
1753,biały ,white 
1754,kierunku ,direction 
1755,akurat ,exactly 
1756,biorę ,I take it 
1757,wraca ,comes back 
1758,żart ,joke 
1759,nazwiska ,names 
1760,poradzę ,I can handle it 
1761,ataku ,attack 
1762,wyglądają ,they look 
1763,dotykaj ,touch 
1764,zdrowie ,health 
1765,zbrodni ,crimes 
1766,idą ,they're coming 
1767,Richard ,Richard 
1768,mil ,miles 
1769,słów ,words 
1770,szalony ,crazy 
1771,rzeczywiście ,actually 
1772,prawdy ,truth 
1773,niespodzianka ,surprise 
1774,rozmawiałem ,I talked 
1775,działać ,work 
1776,km ,km 
1777,widok ,view 
1778,przodu ,front 
1779,szukamy ,we are looking 
1780,mężczyzną ,man 
1781,dobrej ,good 
1782,of ,of 
1783,dziękuje ,Thank you 
1784,usta ,mouth 
1785,grę ,game 
1786,ostatnią ,final 
1787,wrócimy ,we will come back 
1788,rodzinie ,family 
1789,ochrony ,protection 
1790,spadaj ,get lost 
1791,daję ,gives 
1792,wewnątrz ,inside 
1793,ej ,hey 
1794,Claire ,Claire 
1795,pięciu ,five 
1796,rozmawialiśmy ,we talked 
1797,pomożesz ,you will help 
1798,test ,test 
1799,słońca ,sun 
1800,xvid ,xvid 
1801,uwagi ,comments 
1802,Andy ,Andy 
1803,zmieni ,will change 
1804,pomyślałam ,I thought 
1805,przyszła ,she came 
1806,strach ,fear 
1807,zrobiliśmy ,we did 
1808,rozmowę ,conversation 
1809,liście ,leaves 
1810,lekarzem ,doctor 
1811,forsę ,money 
1812,in ,incl 
1813,wracamy ,we're coming back 
1814,bronią ,weapons 
1815,zaczęło ,it started 
1817,dupek ,asshole 
1818,sprawia ,makes 
1819,it ,etc 
1820,interesuje ,interest 
1821,stracić ,lose 
1822,powiedzmy ,let's say 
1823,chłopca ,boy 
1824,szkodzi ,it's harmful 
1825,potrzebne ,necessary 
1826,zmienia ,change 
1827,pociąg ,train 
1828,państwo ,country 
1829,dniu ,day 
1830,przypadek ,case 
1831,zaczynam ,I'm starting 
1832,najlepsza ,the best 
1833,skończyłem ,I'm done 
1834,odzyskać ,to regain 
1835,czuć ,feel 
1836,milion ,million 
1837,problemów ,problems 
1838,rękach ,hands 
1839,poszła ,She went 
1840,wspaniała ,wonderful 
1841,umiera ,dies 
1842,zamknięte ,closed 
1843,myślicie ,you think 
1844,ładny ,pretty 
1845,alarm ,alarm 
1846,żył ,lived 
1847,rodzaj ,type 
1848,znaczyć ,mean 
1849,wysłać ,send 
1850,momencie ,moment 
1851,pory ,pores 
1852,przypadku ,case 
1853,wybrać ,to choose 
1854,wynocha ,get out 
1855,własnej ,own 
1856,iż ,that 
1857,rozmowy ,conversations 
1858,abym ,so that 
1859,operacji ,surgery 
1860,jedziesz ,you are driving 
1861,gadać ,talk 
1862,jakość ,quality 
1863,kotku ,Kitty 
1864,dupku ,asshole 
1865,facetów ,guys 
1866,czekajcie ,wait 
1867,biegnij ,run 
1868,obu ,both 
1869,decyzję ,decisions 
1870,waszej ,yours 
1871,steve ,steve 
1872,drugiego ,the second 
1873,szaleństwo ,madness 
1874,Jerry ,Jerry 
1875,język ,Tongue 
1876,lubią ,they like 
1877,obudź ,wake up 
1878,gówna ,shit 
1879,wygrać ,win 
1880,spróbuję ,I'll try 
1881,przyszedłeś ,you came 
1882,wiec ,So 
1883,leo ,Leo 
1884,względu ,no matter 
1885,odnaleźć ,find 
1886,układ ,system 
1887,sens ,meaning 
1888,psy ,dogs 
1889,oczach ,eyes 
1890,śmiercią ,death 
1891,uciekł ,escaped 
1892,zaufać ,trust 
1893,czasy ,times 
1894,ruszamy ,let's go 
1895,zabiorę ,I'll take 
1896,bycie ,being 
1897,interesy ,business 
1898,oczu ,eyes 
1899,szans ,chances 
1900,nazywają ,they call 
1901,wyniki ,results 
1902,miliony ,millions 
1903,miła ,nice 
1904,wątpię ,I doubt it 
1905,nieba ,skies 
1906,inna ,different 
1907,sukinsyn ,son of a bitch 
1908,południe ,south 
1909,armii ,army 
1910,bawić ,entertain 
1911,zazwyczaj ,usually 
1912,wydarzyło ,happened 
1913,punkt ,point 
1914,dostałeś ,you got it 
1915,pozwoli ,will allow 
1916,następnego ,next 
1917,zdecydowanie ,definitely 
1918,mówili ,they said 
1919,prowadzić ,to lead 
1920,stop ,Stop 
1921,oglądać ,to watch 
1922,woli ,will 
1923,kłopotów ,trouble 
1924,ziemia ,earth 
1925,innej ,another one 
1926,dziećmi ,children 
1927,sto ,hundred 
1928,indziej ,else 
1929,bratem ,brother 
1930,daleka ,far away 
1931,szanse ,chances 
1932,dzwoni ,is calling 
1933,widzieliśmy ,we saw 
1934,van ,van 
1935,budynek ,building 
1936,synchro ,synchro 
1937,bierze ,takes 
1938,warto ,it's worth it 
1939,musze ,I have to 
1940,umysł ,mind 
1941,mego ,mine 
1942,detektyw ,detective 
1943,każde ,every 
1944,konia ,horse 
1945,zmiany ,changes 
1946,różnica ,difference 
1947,robiłem ,I did 
1948,długi ,long 
1949,listę ,list 
1950,hmm ,hmm 
1951,duża ,big 
1952,pomaga ,helps 
1953,własnego ,own 
1954,musiałam ,I had to 
1955,wujek ,uncle 
1956,nóż ,knife 
1957,żadna ,none 
1958,państwa ,countries 
1959,niektóre ,some 
1960,podziękować ,thank 
1961,nadchodzi ,is coming 
1962,żyję ,is alive 
1963,tamtej ,that one 
1964,zostali ,they stayed 
1965,cholernie ,damned 
1966,larry ,Larry 
1967,radio ,radio 
1968,bólu ,pain 
1969,ha ,ha 
1970,walka ,fight 
1971,zabierzcie ,take it away 
1972,zniknął ,disappeared 
1973,wiedzieli ,they knew 
1974,chciałaś ,you wanted 
1975,doktora ,doctor 
1976,prawdziwym ,real 
1977,wyglądać ,look 
1978,przekonać ,to convince 
1980,wyluzuj ,relax 
1981,dowie ,will find out 
1982,trwa ,lasts 
1983,znajduje ,finds 
1984,poznałem ,I met 
1985,ojcu ,father 
1986,ostatnich ,last ones 
1987,al ,al 
1988,wolność ,freedom 
1989,łeb ,head 
1990,strzelaj ,shoot 
1991,myślał ,he thought 
1992,zabiją ,kills 
1993,wychodzę ,I'm leaving 
1994,posłuchać ,listen 
1995,strzał ,shot 
1996,kinomania ,cinephilia 
1997,utrzymać ,maintain 
1998,cholerny ,damn 
1999,kasy ,cash register 
2000,potrzebują ,they need 
2001,okolicy ,area 
2002,wolności ,freedom 
2003,czułem ,I felt 
2004,Carter ,Carter 
2005,Jones ,Jones 
2006,opowiedz ,tell me 
2007,łodzi ,boat 
2008,prosze ,Please 
2009,czasów ,times 
2010,minęło ,passed 
2011,widziała ,she saw 
2012,północy ,midnight 
2013,ruchy ,movements 
2014,ku ,to 
2015,pokładzie ,board 
2016,absolutnie ,absolutely 
2017,vegas ,vegas 
2018,małym ,small 
2019,cisza ,silence 
2020,klasy ,classes 
2021,czekają ,they are waiting 
2022,pytasz ,you ask 
2023,nos ,nose 
2024,przejmuj ,take over 
2025,szlag ,damn 
2026,mamą ,mom 
2027,wierzy ,he believes 
2028,lepszego ,better 
2029,zabili ,they killed 
2030,okropne ,terrible 
2031,śmiało ,go ahead 
2032,sali ,hall 
2033,sprawdzę ,I will check 
2034,następne ,next 
2035,powtarzam ,I repeat 
2036,mieszkania ,flats 
2037,bój ,funk 
2038,wraz ,together 
2039,pańska ,yours 
2040,zmarł ,He died 
2041,czterech ,four 
2042,uczucia ,feelings 
2043,czytać ,to read 
2044,podejdź ,come over 
2045,uwierz ,believe me 
2046,doceniam ,I appreciate 
2047,warte ,worth 
2048,czyżby ,maybe 
2049,pańskie ,yours 
2050,zero ,zero 
2051,różnych ,various 
2052,zobaczyłem ,I saw 
2053,bomba ,bomb 
2054,nowej ,new one 
2055,pamięć ,memory 
2056,taty ,dad 
2057,zastanawiam ,I'm thinking 
2058,klucze ,keys 
2059,wróć ,come back 
2060,rzeczą ,thing 
2061,własny ,own 
2062,przyjdę ,I'll come 
2063,przypomina ,reminds 
2064,danych ,data 
2065,tatuś ,daddy 
2066,przeszłości ,past 
2067,pochodzi ,comes 
2068,zobaczy ,he will see 
2069,napisane ,written 
2070,mark ,mark 
2071,mężem ,husband 
2072,drogą ,way 
2073,ubrania ,clothes 
2074,akta ,files 
2075,widzimy ,we see 
2076,jakiejś ,some 
2077,brian ,Brian 
2078,żadne ,none 
2079,ufać ,trust 
2080,najważniejsze ,most important 
2081,doczekać ,wait 
2082,sklepu ,store 
2083,szczególnie ,especially 
2084,północ ,midnight 
2085,zostawię ,I'll leave it 
2086,hatak ,hatak 
2087,bazy ,bases 
2088,podróży ,travel 
2089,ręki ,hands 
2090,prezydencie ,president 
2091,spytać ,ask 
2092,Chicago ,Chicago 
2093,piątek ,Friday 
2094,Charles ,Charles 
2095,decyzja ,decision 
2096,potrzebna ,needed 
2097,ocalić ,save 
2098,lewej ,left 
2099,pojechać ,go 
2100,obie ,both 
2101,Rose ,Rose 
2102,Amy ,Amy 
2103,dopasowane ,fitted 
2104,pić ,drink 
2105,mojemu ,mine 
2106,zmęczony ,tired 
2107,wchodzi ,comes in 
2108,randkę ,date 
2109,grupy ,groups 
2110,pieprz ,pepper 
2111,waszych ,yours 
2112,potrwa ,it will take 
2113,bezpieczny ,safe 
2114,gorąco ,hot 
2115,stracił ,he lost 
2116,miecz ,sword 
2117,pamięta ,remembers 
2118,łatwe ,easy 
2119,siłę ,strength 
2120,zaczniemy ,we'll start 
2121,wyjdziesz ,you will leave 
2122,własnym ,own 
2123,pospiesz ,hurry up 
2124,słyszeć ,to hear 
2125,śpi ,sleeps 
2126,zbliża ,getting closer 
2127,czekamy ,we are waiting 
2128,kieszeni ,pocket 
2129,świąt ,world 
2130,stóp ,Stop 
2131,zdarza ,happens 
2132,nogę ,leg 
2133,generał ,general 
2134,żołnierzy ,soldiers 
2135,przeszkadza ,disturb 
2136,zajmuje ,occupies 
2137,sprzęt ,equipment 
2138,miałby ,would have 
2139,wyszła ,she left 
2140,silny ,strong 
2141,szefa ,boss 
2142,słodki ,sweet 
2143,dostęp ,access 
2144,spotkania ,meetings 
2145,porozmawiamy ,we'll talk 
2146,ufam ,I trust 
2147,dowodów ,evidence 
2148,winny ,guilty 
2149,new ,new 
2150,dzwonię ,I'm calling 
2151,firma ,business 
2152,zginąć ,die 
2153,trzymajcie ,hold on 
2154,złym ,bad 
2155,swoimi ,with their own 
2156,głęboko ,deep 
2157,małżeństwo ,marriage 
2158,pełne ,full 
2159,bierzesz ,take 
2160,nieprawdaż ,isn't it? 
2161,ranny ,injured 
2162,martwię ,dead 
2163,stanu ,state 
2164,komputer ,computer 
2165,połóż ,put 
2166,auto ,car 
2167,równie ,as 
2168,założyć ,to establish 
2169,zapewne ,probably 
2170,nadszedł ,it has come 
2171,kwiaty ,flowers 
2172,niedaleko ,near 
2173,wroga ,enemy 
2174,paru ,a few 
2175,dziwnego ,strange 
2176,ameryki ,america 
2177,cos ,something 
2178,napiprojekt ,napiprojekt 
2179,liczyć ,to count 
2180,wiatr ,wind 
2181,staje ,stops 
2182,kawał ,piece 
2183,straciliśmy ,we lost 
2184,szkoła ,school 
2185,zęby ,To 
2186,zaszczyt ,honor 
2187,zachować ,keep 
2188,znaczenie ,meaning 
2189,energii ,energy 
2190,zaczekać ,wait 
2191,potrzeby ,needs 
2192,misji ,mission 
2193,przyjemnością ,pleasure 
2194,waszym ,yours 
2195,możliwość ,possibility 
2196,najszybciej ,fastest 
2197,joey ,joey 
2198,piłkę ,ball 
2199,jakich ,what 
2200,armia ,army 
2201,zechcesz ,you want 
2202,czerwony ,red 
2203,stacji ,station 
2204,byłaby ,would be 
2205,cenę ,price 
2206,dobrych ,good ones 
2207,strachu ,fear 
2208,musiałeś ,you had to 
2209,cia ,body 
2210,gratuluję ,congratulations 
2211,wyjechać ,to leave 
2212,gdybyśmy ,if we 
2213,pole ,field 
2214,forsy ,money 
2215,hotel ,hotel 
2216,zapach ,smell 
2217,zmieniło ,changed 
2218,zabrali ,they took it away 
2219,wojnie ,war 
2220,mieszkam ,I live 
2221,starego ,old 
2222,oddział ,branch 
2223,ted ,ted 
2224,sklep ,store 
2225,bezpiecznie ,safely 
2226,house ,house 
2227,odszedł ,he left 
2228,królem ,king 
2229,samolotu ,plane 
2230,emily ,emily 
2231,planu ,plan 
2232,wróciłem ,I came back 
2233,jutra ,tomorrow 
2234,brawo ,way to go 
2235,boi ,afraid 
2236,minutę ,minute 
2237,bezpieczne ,safe 
2238,kontroli ,control 
2239,bzdury ,nonsense 
2240,ducha ,spirit 
2241,pomyśleć ,think 
2242,znacznie ,significantly 
2243,dała ,she gave 
2244,miały ,had 
2245,moze ,Maybe 
2246,czysty ,clean 
2247,profesorze ,Professor 
2248,byłbym ,I would be 
2249,otwieraj ,open 
2250,lot ,flight 
2251,wyobrazić ,imagine 
2252,zadowolony ,content 
2253,domem ,home 
2254,sprzedać ,sell 
2255,przyniosę ,I'll bring it 
2256,zdejmij ,take it off 
2257,głową ,head 
2258,martin ,Martin 
2259,celem ,goal 
2260,skończył ,he finished 
2261,mężczyźni ,men 
2262,musiało ,it had to 
2263,tygodnia ,week 
2264,żartuję ,kidding 
2265,zasadzie ,basically 
2266,przekazać ,to pass 
2267,mogłaby ,she could 
2268,don ,don 
2269,móc ,power 
2270,dałeś ,you gave 
2271,zostaną ,they will stay 
2272,obejrzeć ,see 
2273,mogłoby ,could 
2274,mamę ,mom 
2275,wyszło ,it worked out 
2276,zamian ,exchange 
2277,umowę ,contract 
2278,auta ,cars 
2279,pomocą ,help 
2280,umowa ,agreement 
2281,śmieci ,garbage 
2282,restauracji ,restaurant 
2283,dan ,dan 
2284,zacząłem ,I started 
2285,normalnie ,normally 
2286,odsuń ,move away 
2287,kontrolę ,control 
2288,sądu ,court 
2289,mamie ,mom 
2290,wszystkimi ,everyone 
2291,znajdą ,they will find 
2292,jestes ,You are 
2293,tatusiu ,daddy 
2294,zrobią ,they will do 
2295,przyjechał ,he came 
2296,kurs ,course 
2297,chuck ,chuck 
2298,rusz ,move 
2299,eric ,eric 
2300,spotkałem ,I met 
2301,zostawcie ,leave it 
2302,kompletnie ,totally 
2303,troszkę ,a bit 
2304,dokumenty ,documents 
2305,pamięci ,memory 
